,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
0,Shri Ram College of Commerce,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.3,1,317,2025,"₹ 1,25,080","9,90,000","36,00,000",AICTE 
1,Hindu College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.2,2,317,2025,"₹ 86,010","8,40,000","36,50,000",UGC 
2,Lady Shri Ram College for Women,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.3,3,317,2025,"₹ 71,260","12,18,000","45,00,000","UGC, MHRD "
3,Hansraj College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.2,4,317,2025,"₹ 91,715","9,00,000","23,00,000",UGC 
4,Loyola College,B.Com,B.Com, Chennai, Tamil Nadu,4.3,5,317,2025,"₹ 95,400","6,34,000","22,50,000",UGC 
5,Kirori Mal College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.2,6,317,2025,"₹ 68,220","10,80,000","24,80,000",
6,Narsee Monjee College of Commerce and Economics,B.Com,B.Com Financial Markets, Mumbai, Maharashtra,4.1,7,317,2025,"₹ 2,25,000","6,10,000","22,55,000",AICTE 
7,Ramjas College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4,8,317,2025,"₹ 48,784","7,40,000","23,05,000",
8,Madras Christian College,B.Com,B.Com, Chennai, Tamil Nadu,4.3,9,317,2025,"₹ 83,760","2,31,200","3,00,000",UGC 
9,Sri Venkateswara College  Delhi,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.2,10,317,2025,"₹ 69,065","5,53,000","21,50,000",UGC 
10,Sri Guru Tegh Bahadur Khalsa College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,11,317,2025,"₹ 95,355","5,80,000","23,05,000",
11,Daulat Ram College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,12,317,2025,"₹ 1,03,800","6,00,000","23,05,000",UGC 
12,Sri Guru Gobind Singh College of Commerce,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.1,13,317,2025,"₹ 1,10,610","5,30,000","23,00,000",
13,Christ University,B.Com,B.Com Accounting And Finance, Bangalore, Karnataka,4.1,14,317,2025,"₹ 5,63,000","7,00,000","32,00,000","AICTE, UGC, NBA "
14,Jesus and Mary College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4,15,317,2025,"₹ 84,240","6,00,000","23,05,000",
15,Atma Ram Sanatan Dharma College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,16,317,2025,"₹ 57,090",,,UGC 
16,St. Joseph's College of Commerce,B.Com,B.Com International Accounting and Finance, Bangalore, Karnataka,4.1,17,317,2025,"₹ 6,62,800","5,35,000","30,00,000","UGC, ACCA "
17,Indraprastha College for Women,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,18,317,2025,"₹ 1,01,175","7,03,000","23,05,000",
18,Mithibai College of Arts,B.Com,B.Com Accounting And Finance, Mumbai, Maharashtra,4.1,19,317,2025,"₹ 1,77,000",,"12,88,000","AICTE, UGC "
19,Gargi College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4.1,20,317,2025,"₹ 82,825","5,25,000","23,05,000",UGC 
20,St. Xavier's College,B.Com,B.Com {Hons.}, Kolkata, West Bengal,4.1,21,317,2025,"₹ 2,73,600",,"36,00,000",UGC 
21,Shaheed Bhagat Singh College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,22,317,2025,"₹ 62,625","5,61,000","23,05,000",
22,Delhi College of Arts and Commerce,B.Com,B.Com, New Delhi, Delhi NCR,4,23,317,2025,"₹ 40,200","1,83,333","22,00,000",UGC 
23,Maitreyi College,B.Com,B.Com, New Delhi, Delhi NCR,3.9,24,317,2025,"₹ 49,161","5,70,000","24,80,000",
24,Christ University (Lavasa Campus),B.Com,B.Com Financial Analytics, Pune, Maharashtra,4.3,25,317,2025,"₹ 5,63,000",,"15,00,000",AICTE 
25,College of Vocational Studies,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,26,317,2025,"₹ 75,200","5,00,000","23,05,000",
26,Kamala Nehru College,B.Com,B.Com, New Delhi, Delhi NCR,4,27,317,2025,"₹ 59,400",,"21,50,000",
27,RA Podar College of Commerce and Economics,B.Com,B.Com, Mumbai, Maharashtra,3.9,28,317,2025,"₹ 33,675",,,
28,Dyal Singh College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,29,317,2025,"₹ 39,995",,"23,50,000",
29,Aryabhatta College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,30,317,2025,"₹ 63,660","5,30,000","9,00,000",UGC 
30,St. Xavier's College,B.Com,B.Com {Hons.}, Kolkata, West Bengal,4.1,21,317,2025,"₹ 2,73,600",,"36,00,000",UGC 
31,Shaheed Bhagat Singh College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,22,317,2025,"₹ 62,625","5,61,000","23,05,000",
32,Delhi College of Arts and Commerce,B.Com,B.Com, New Delhi, Delhi NCR,4,23,317,2025,"₹ 40,200","1,83,333","22,00,000",UGC 
33,Maitreyi College,B.Com,B.Com, New Delhi, Delhi NCR,3.9,24,317,2025,"₹ 49,161","5,70,000","24,80,000",
34,Christ University (Lavasa Campus),B.Com,B.Com Financial Analytics, Pune, Maharashtra,4.3,25,317,2025,"₹ 5,63,000",,"15,00,000",AICTE 
35,College of Vocational Studies,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,26,317,2025,"₹ 75,200","5,00,000","23,05,000",
36,Kamala Nehru College,B.Com,B.Com, New Delhi, Delhi NCR,4,27,317,2025,"₹ 59,400",,"21,50,000",
37,RA Podar College of Commerce and Economics,B.Com,B.Com, Mumbai, Maharashtra,3.9,28,317,2025,"₹ 33,675",,,
38,Dyal Singh College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,29,317,2025,"₹ 39,995",,"23,50,000",
39,Aryabhatta College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,30,317,2025,"₹ 63,660","5,30,000","9,00,000",UGC 
40,Stella Maris College,B.Com,B.Com, Chennai, Tamil Nadu,4.1,31,317,2025,"₹ 89,220",,,UGC 
41,Motilal Nehru College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,32,317,2025,"₹ 47,635",,,
42,Deen Dayal Upadhyaya College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4,33,317,2025,"₹ 96,465","6,55,000","24,80,000",UGC 
43,Kristu Jayanti University,B.Com,B.Com Professional, Bangalore, Karnataka,4.1,34,317,2025,"₹ 4,25,000",,,"AICTE, BCI, UGC, ACCA "
44,Mount Carmel College Autonomous,B.Com,B.Com, Bangalore, Karnataka,4.2,35,317,2025,"₹ 2,94,700","5,50,000","24,80,000",UGC 
45,Ram Lal Anand College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,36,317,2025,"₹ 72,630",,"6,60,000",AICTE 
46,Shaheed Bhagat Singh Evening College,B.Com,B.Com, New Delhi, Delhi NCR,3.9,37,317,2025,"₹ 45,525",,,
47,Sri Aurobindo College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,38,317,2025,"₹ 39,210","3,00,000","8,00,000",UGC 
48,Kishinchand Chellaram College,B.Com,B.Com, Mumbai, Maharashtra,4.1,39,317,2025,"₹ 29,460",,,
49,Ramanujan College,B.Com,B.Com, New Delhi, Delhi NCR,4,40,317,2025,"₹ 71,760","5,13,000","12,00,000",UGC 
50,Deshbandhu College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,41,317,2025,"₹ 56,223","3,00,000","28,00,000",
51,Goswami Ganesh Dutta Sanatan Dharma College,B.Com,B.Com, Chandigarh, Chandigarh,4.1,42,317,2025,"₹ 85,020",,,
52,Sri Guru Nanak Dev Khalsa College,B.Com,B.Com, New Delhi, Delhi NCR,3.7,43,317,2025,"₹ 62,045",,,UGC 
53,Presidency College,B.Com,B.Com, Bangalore, Karnataka,4,44,317,2025,"₹ 3,05,000","5,50,000","12,00,000","AICTE, UGC "
54,Keshav Mahavidyalaya,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,45,317,2025,"₹ 53,920","5,65,000","10,80,000","UGC, MHRD "
55,Shivaji College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,46,317,2025,"₹ 79,830","6,00,000","24,00,000",
56,IFIM Institutions,B.Com,B.Com, Bangalore, Karnataka,4.1,47,317,2025,"₹ 3,88,599","8,95,000","23,20,000","AICTE, UGC "
57,Maharaja Agrasen College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,48,317,2025,"₹ 55,360","7,00,000","30,00,000",
58,Women's Christian College,B.Com,B.Com, Chennai, Tamil Nadu,3.8,49,317,2025,"₹ 3,44,238",,,UGC 
59,Kalindi College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,50,317,2025,"₹ 49,775","10,00,000","24,00,000","AICTE, UGC "
60,HR College of Commerce and Economics,B.Com,B.Com Accounting And Finance, Mumbai, Maharashtra,4,51,317,2025,"₹ 1,51,350","5,00,000","10,00,000",
61,Satyawati College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,52,317,2025,"₹ 48,035",,"25,00,000",UGC 
62,Symbiosis College of Arts and Commerce,B.Com,B.Com Accounting And Finance, Pune, Maharashtra,4.2,53,317,2025,"₹ 3,81,500","5,24,232","23,05,500",
63,Rajdhani College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,54,317,2025,"₹ 46,400","1,45,000","1,74,00,000","UGC, MHRD "
64,AIMS Institutes,B.Com,B.Com, Bangalore, Karnataka,3.7,55,317,2025,"₹ 2,01,000","8,00,000","27,00,000",AICTE 
65,PGDAV College,B.Com,B.Com, New Delhi, Delhi NCR,3.9,56,317,2025,"₹ 43,480","4,80,000","23,00,000",
66,St. Xavier's College,B.Com,BAF, Mumbai, Maharashtra,4.1,57,317,2025,"₹ 1,99,500","6,00,000","21,00,000",
67,Lakshmibai College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.6,58,317,2025,"₹ 46,779","3,00,000","9,00,000",AICTE 
68,Zakir Husain Delhi College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,59,317,2025,"₹ 59,109",,,
69,Acharya Narendra Dev College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,60,317,2025,"₹ 61,620",,,AICTE 
70,Dyal Singh Evening College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,61,317,2025,"₹ 45,600",,,
71,Shyam Lal College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,62,317,2025,"₹ 85,500","4,20,288","7,50,000",UGC 
72,Janki Devi Memorial College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,4,63,317,2025,"₹ 70,665",,"11,00,000",AICTE 
73,Sacred Heart College,B.Com,B.Com {Hons.} Taxation, Ernakulam, Kerala,4.2,64,317,2025,"₹ 2,55,990","7,50,000","46,50,000",AICTE 
74,Vivekananda College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,65,317,2025,"₹ 44,800",,,UGC 
75,JD Birla Institute,B.Com,B.Com {Hons.} Marketing, Kolkata, West Bengal,3.8,66,317,2025,"₹ 5,97,800","5,00,000","9,00,000",
76,Dr. Bhim Rao Ambedkar College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,67,317,2025,"₹ 57,795","1,25,000","15,00,000",
77,B.K Birla College Of Arts Science & Commerce,B.Com,B.Com Accounting And Finance, Thane, Maharashtra,3.8,68,317,2025,"₹ 45,310",,,UGC 
78,Motilal Nehru College (Evening),B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,69,317,2025,"₹ 36,870",,,
79,Goenka College of Commerce and Business Administration,B.Com,B.Com {Hons.}, Kolkata, West Bengal,3.9,70,317,2025,"₹ 3,610",,"6,00,000",AICTE 
80,Swami Shraddhanand College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.5,71,317,2025,"₹ 51,825",,,
81,Vimala College,B.Com,B.Com Finance, Thrissur, Kerala,4.2,72,317,2025,"₹ 1,51,200",,,UGC 
82,Shyama Prasad Mukherji College For Women,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.9,73,317,2025,"₹ 35,520",,,"NCTE, UGC "
83,K J Somaiya College of Arts & Commerce,B.Com,B.Com, Mumbai, Maharashtra,4.1,74,317,2025,"₹ 48,035",,,
84,Presidency College,B.Com,B.Com, Chennai, Tamil Nadu,4,75,317,2025,"₹ 3,875","5,00,000","15,00,000",AICTE 
85,Mata Sundri College for Women,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,76,317,2025,"₹ 81,075","3,60,000","8,00,000",
86,Jain University,B.Com,B.Com, Bangalore, Karnataka,3.9,77,317,2025,"₹ 5,70,000","8,24,000","81,25,000","AICTE, CRISIL, UGC, NBA, AIU "
87,St Francis College for Women,B.Com,B.Com Computer Applications, Hyderabad, Telangana,4.3,78,317,2025,"₹ 2,53,500",,"24,00,000",UGC 
88,Bharati College,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.8,79,317,2025,"₹ 47,665",,,
89,Satyawati Evening College,B.Com,B.Com, New Delhi, Delhi NCR,3.7,80,317,2025,"₹ 48,035","4,00,000","12,00,000",
90,Isabella Thoburn Degree College,B.Com,B.Com, Lucknow, Uttar Pradesh,3.8,81,317,2025,"₹ 1,00,000","3,50,000","8,00,000","AICTE, UGC "
91,Aditi Mahavidyalaya,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.7,82,317,2025,"₹ 45,990",,,UGC 
92,Ness Wadia College of Commerce,B.Com,B.Com, Pune, Maharashtra,4,83,317,2025,"₹ 25,950","4,28,000","7,60,000",
93,Sri  Aurobindo College (Evening),B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.3,84,317,2025,"₹ 34,620",,,
94,Seshadripuram College,B.Com,B.Com, Bangalore, Karnataka,4.1,85,317,2025,"₹ 1,08,000","2,50,000","32,00,000",
95,PGDAV College (Evening),B.Com,B.Com, New Delhi, Delhi NCR,3.8,86,317,2025,"₹ 51,785",,"8,00,000",
96,Zakir Husain Delhi College (Evening),B.Com,B.Com, New Delhi, Delhi NCR,3.7,87,317,2025,"₹ 28,287",,,UGC 
97,St. Xavier's College,B.Com,B.Com {Hons.} Accountancy, Ranchi, Jharkhand,4,88,317,2025,"₹ 1,79,600","5,50,000","42,00,000","NCTE, UGC "
98,Shyam Lal College (Evening),B.Com,B.Com, New Delhi, Delhi NCR,3.7,89,317,2025,"₹ 48,470","4,00,000","12,00,000",
