,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
0,Hindu College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,4.2,1,255,2025,"₹ 86,010","8,40,000","36,50,000",UGC 
1,St Stephen's College,BA,BA, New Delhi, Delhi NCR,4.3,2,255,2025,"₹ 88,311","9,30,000","20,00,000",UGC 
2,St. Xavier's College,BA,BA {Hons.} English, Kolkata, West Bengal,4.1,3,255,2025,"₹ 1,92,900",,"36,00,000",UGC 
3,Lady Shri Ram College for Women,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,4.3,4,255,2025,"₹ 60,460","12,18,000","45,00,000","UGC, MHRD "
4,Miranda House,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,4.2,5,255,2025,"₹ 48,180","7,60,000","19,00,000",
5,Kirori Mal College,BA,BA {Hons.} Geography, New Delhi, Delhi NCR,4.2,6,255,2025,"₹ 67,260","10,80,000","24,80,000",
6,Shri Ram College of Commerce,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,4.3,7,255,2025,"₹ 1,25,080","9,90,000","36,00,000",AICTE 
7,Jesus and Mary College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,4,8,255,2025,"₹ 83,040","6,00,000","23,05,000",
8,Ramjas College,BA,BA, New Delhi, Delhi NCR,4,9,255,2025,"₹ 46,784","7,40,000","23,05,000",
9,Indraprastha College for Women,BA,B.A {Hons.} Multi Media and Mass Communication, New Delhi, Delhi NCR,3.9,10,255,2025,"₹ 3,91,875","7,03,000","23,05,000",
10,Hansraj College,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,4.2,11,255,2025,"₹ 86,615","9,00,000","23,00,000",UGC 
11,Sri Venkateswara College  Delhi,BA,BA, New Delhi, Delhi NCR,4.2,12,255,2025,"₹ 66,065","5,53,000","21,50,000",UGC 
12,Madras Christian College,BA,BA Political Science, Chennai, Tamil Nadu,4.3,13,255,2025,"₹ 56,160","2,31,200","3,00,000",UGC 
