,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
0,Christ University,BCA,BCA, Bangalore, Karnataka,4.1,1,251,2025,"₹ 5,90,000","7,00,000","32,00,000","AICTE, UGC, NBA "
1,Kristu Jayanti University,BCA,BCA, Bangalore, Karnataka,4.1,3,251,2025,"₹ 3,80,000",,,"AICTE, BCI, UGC, ACCA "
2,Loyola College,BCA,BCA, Chennai, Tamil Nadu,4.3,4,251,2025,"₹ 3,29,100","6,34,000","22,50,000",UGC 
3,St Joseph's University,BCA,BCA, Bangalore, Karnataka,4.1,5,251,2025,"₹ 5,30,000",,,"UGC, MHRD "
4,Maharaja Surajmal Institute,BCA,BCA, New Delhi, Delhi NCR,3.8,6,251,2025,"₹ 3,42,900","4,50,000","12,00,000","NCTE, AICTE, BCI, UGC, QCI "
5,PSGR Krishnammal College for Women,BCA,BCA, Coimbatore, Tamil Nadu,4.4,7,251,2025,"₹ 63,000","4,70,000","26,00,000",UGC 
6,Stella Maris College,BCA,BCA, Chennai, Tamil Nadu,4.1,8,251,2025,"₹ 1,93,620",,,UGC 
7,Women's Christian College,BCA,BCA, Chennai, Tamil Nadu,3.8,10,251,2025,"₹ 3,38,238",,,UGC 
8,St. Xavier's College Jaipur,BCA,BCA, Jaipur, Rajasthan,3.8,11,251,2025,"₹ 2,37,600","4,06,000","6,36,000",AICTE 
9,Maharaja Agrasen Institute of Management Studies,BCA,BCA, New Delhi, Delhi NCR,4,12,251,2025,"₹ 4,15,800",,"6,50,000",BCI 
10,Rajagiri College of Social Sciences,BCA,BCA {Hons.}, Kochi, Kerala,3.9,13,251,2025,,"6,90,000","13,58,000","AICTE, UGC, AIU "
11,Madras Christian College,BCA,BCA, Chennai, Tamil Nadu,4.3,14,251,2025,"₹ 2,06,000","2,31,200","3,00,000",UGC 
12,Ramaiah College of Arts,BCA,BCA, Bangalore, Karnataka,4,15,251,2025,"₹ 3,90,000","3,75,000","15,00,000","AICTE, UGC "
13,Suryadatta Institute of Business Management and Technology,BCA,BCA, Pune, Maharashtra,4.7,16,251,2025,"₹ 60,000","4,00,000","10,00,000","AICTE, MHRD "
14,Lovely Professional University,BCA,BCA, Jalandhar, Punjab,4.2,17,251,2025,"₹ 5,10,000",,"2,50,00,000","NCTE, COA, PCI, BCI, ICAR "
15,Presidency College,BCA,BCA Artificial Intelligence and Machine Learning, Bangalore, Karnataka,4,18,251,2025,"₹ 4,50,000","5,50,000","12,00,000","AICTE, UGC "
16,St. Xavier's College,BCA,BCA, Ranchi, Jharkhand,4,20,251,2025,"₹ 3,70,200","5,50,000","42,00,000","NCTE, UGC "
17,St Xavier's College,BCA,BCA, Ahmedabad, Gujarat,4.1,21,251,2025,"₹ 1,78,500",,,UGC 
18,Mount Carmel College Autonomous,BCA,BCA, Bangalore, Karnataka,4.2,22,251,2025,"₹ 4,70,400","5,50,000","24,80,000",UGC 
19,Jagannath Community College (JCC),BCA,BCA Information Security and Cloud Technology, New Delhi, Delhi NCR,4,23,251,2025,"₹ 5,18,500","7,50,000","21,00,000",
20,Pillai College of Arts,BCA,BCA, Navi Mumbai, Maharashtra,4.3,24,251,2025,"₹ 2,47,500","3,00,000","9,00,000",UGC 
21,Goswami Ganesh Dutta Sanatan Dharma College,BCA,BCA, Chandigarh, Chandigarh,4.1,25,251,2025,"₹ 87,444",,,
22,IMS Ghaziabad (University Courses Campus),BCA,BCA Cyber Security, Ghaziabad, Uttar Pradesh,4.1,26,251,2025,"₹ 5,94,000","11,50,000","41,00,000",AICTE 
23,AIMS Institutes,BCA,BCA, Bangalore, Karnataka,3.7,27,251,2025,"₹ 3,36,700","8,00,000","27,00,000",AICTE 
24,St Aloysius (Deemed To Be University),BCA,BCA, Mangalore, Karnataka,3.8,28,251,2025,"₹ 2,44,500",,"15,00,000","NCTE, AICTE, BCI, UGC "
25,DG Vaishnav College,BCA,BCA, Chennai, Tamil Nadu,3.9,29,251,2025,"₹ 1,74,000","6,72,000","9,45,000",UGC 
26,University of Allahabad,BCA,BCA, Allahabad, Uttar Pradesh,3.7,30,251,2025,"₹ 2,44,000","6,81,000","8,21,000","NCTE, UGC "
27,Institute of Management Studies,BCA,BCA Artificial Intelligence, Noida, Uttar Pradesh,3.9,31,251,2025,"₹ 5,21,010","1,00,000","34,00,000","AICTE, BCI, UGC "
28,GITAM,BCA,BCA, Visakhapatnam, Andhra Pradesh,4,32,251,2025,"₹ 6,27,000","5,42,000","34,00,000","AICTE, COA, PCI, BCI, UGC "
29,SS Jain Subodh PG College,BCA,BCA, Jaipur, Rajasthan,3.6,34,251,2025,"₹ 93,200",,,
30,Pillai College of Arts,BCA,BCA, Navi Mumbai, Maharashtra,4.3,24,251,2025,"₹ 2,47,500","3,00,000","9,00,000",UGC 
31,Goswami Ganesh Dutta Sanatan Dharma College,BCA,BCA, Chandigarh, Chandigarh,4.1,25,251,2025,"₹ 87,444",,,
32,IMS Ghaziabad (University Courses Campus),BCA,BCA Cyber Security, Ghaziabad, Uttar Pradesh,4.1,26,251,2025,"₹ 5,94,000","11,50,000","41,00,000",AICTE 
33,AIMS Institutes,BCA,BCA, Bangalore, Karnataka,3.7,27,251,2025,"₹ 3,36,700","8,00,000","27,00,000",AICTE 
34,St Aloysius (Deemed To Be University),BCA,BCA, Mangalore, Karnataka,3.8,28,251,2025,"₹ 2,44,500",,"15,00,000","NCTE, AICTE, BCI, UGC "
35,DG Vaishnav College,BCA,BCA, Chennai, Tamil Nadu,3.9,29,251,2025,"₹ 1,74,000","6,72,000","9,45,000",UGC 
36,University of Allahabad,BCA,BCA, Allahabad, Uttar Pradesh,3.7,30,251,2025,"₹ 2,44,000","6,81,000","8,21,000","NCTE, UGC "
37,Institute of Management Studies,BCA,BCA Artificial Intelligence, Noida, Uttar Pradesh,3.9,31,251,2025,"₹ 5,21,010","1,00,000","34,00,000","AICTE, BCI, UGC "
38,GITAM,BCA,BCA, Visakhapatnam, Andhra Pradesh,4,32,251,2025,"₹ 6,27,000","5,42,000","34,00,000","AICTE, COA, PCI, BCI, UGC "
39,SS Jain Subodh PG College,BCA,BCA, Jaipur, Rajasthan,3.6,34,251,2025,"₹ 93,200",,,
40,Banasthali Vidyapith,BCA,BCA, Jaipur, Rajasthan,4.2,35,251,2025,"₹ 4,78,500","3,60,000","5,20,000",UGC 
41,Prestige Institute of Management and Research,BCA,BCA, Indore, Madhya Pradesh,3.8,36,251,2025,"₹ 3,88,500","4,41,000","32,00,000","AICTE, BCI, UGC "
42,Institute of Technology & Science   UG Campus,BCA,BCA, Ghaziabad, Uttar Pradesh,4.1,37,251,2025,"₹ 4,94,121","6,50,000","18,00,000",UGC 
43,Bennett University,BCA,BCA Artificial Intelligence, Greater Noida, Uttar Pradesh,4.3,39,251,2025,"₹ 8,02,000","11,10,000","1,37,00,000","BCI, UGC, AIU "
44,Rajiv Gandhi University,BCA,BCA, Itanagar, Arunachal Pradesh,3.7,40,251,2025,"₹ 89,000",,,"AICTE, UGC "
