,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
0,Hindu College,B.Sc,B.Sc {Hons.} Statistics, New Delhi, Delhi NCR,4.2,1,277,2025,"₹ 88,260","8,40,000","36,50,000",UGC 
1,St Stephen's College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,4.3,2,277,2025,"₹ 88,869","9,30,000","20,00,000",UGC 
2,Lady Shri Ram College for Women,B.Sc,B.Sc {Hons.} Statistics, New Delhi, Delhi NCR,4.3,3,277,2025,"₹ 71,560","12,18,000","45,00,000","UGC, MHRD "
3,Kirori Mal College,B.Sc,B.Sc Applied Physical Science with Analytical Methods in Chemistry & Biochemistry, New Delhi, Delhi NCR,4.2,4,277,2025,"₹ 51,345","10,80,000","24,80,000",
4,St. Xavier's College,B.Sc,B.Sc {Hons.} Microbiology, Kolkata, West Bengal,4.1,5,277,2025,"₹ 4,81,700",,"36,00,000",UGC 
5,Loyola College,B.Sc,B.Sc Visual Communication, Chennai, Tamil Nadu,4.3,6,277,2025,"₹ 1,22,760","6,34,000","22,50,000",UGC 
6,Ramjas College,B.Sc,B.Sc {Hons.} Statistics, New Delhi, Delhi NCR,4,7,277,2025,"₹ 52,929","7,40,000","23,05,000",
7,Sri Venkateswara College  Delhi,B.Sc,B.Sc {Hons.} Biological Science, New Delhi, Delhi NCR,4.2,8,277,2025,"₹ 77,405","5,53,000","21,50,000",UGC 
8,Hansraj College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,4.2,9,277,2025,"₹ 1,77,305","9,00,000","23,00,000",UGC 
9,Shaheed Sukhdev College of Business Studies,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,4.2,10,277,2025,"₹ 86,875","10,97,000","28,00,000",
10,Miranda House,B.Sc,B.Sc Life Sciences, New Delhi, Delhi NCR,4.2,11,277,2025,"₹ 60,270","7,60,000","19,00,000",
11,Madras Christian College,B.Sc,B.Sc Psychology, Chennai, Tamil Nadu,4.3,12,277,2025,"₹ 1,71,457","2,31,200","3,00,000",UGC 
12,Sri Guru Tegh Bahadur Khalsa College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,13,277,2025,"₹ 95,355","5,80,000","23,05,000",
13,Ram Lal Anand College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.8,14,277,2025,"₹ 2,26,170",,"6,60,000",AICTE 
14,Stella Maris College,B.Sc,B.Sc Psychology, Chennai, Tamil Nadu,4.1,15,277,2025,"₹ 1,84,620",,,UGC 
15,Ramanujan College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,4,16,277,2025,"₹ 1,04,760","5,13,000","12,00,000",UGC 
16,Sri Guru Gobind Singh College of Commerce,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,4.1,17,277,2025,"₹ 1,64,610","5,30,000","23,00,000",
17,Atma Ram Sanatan Dharma College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,18,277,2025,"₹ 61,890",,,UGC 
18,PGDAV College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,19,277,2025,"₹ 1,22,980","4,80,000","23,00,000",
19,St Joseph's University,B.Sc,B.Sc Biotechnology, Bangalore, Karnataka,4.1,20,277,2025,"₹ 3,56,000",,,"UGC, MHRD "
20,Daulat Ram College,B.Sc,B.Sc Life Sciences, New Delhi, Delhi NCR,3.9,21,277,2025,"₹ 1,03,800","6,00,000","23,05,000",UGC 
21,Indraprastha College for Women,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,22,277,2025,"₹ 1,53,675","7,03,000","23,05,000",
22,Christ University,B.Sc,B.Sc Biotechnology, Bangalore, Karnataka,4.1,23,277,2025,"₹ 4,46,000","7,00,000","32,00,000","AICTE, UGC, NBA "
23,Uttarakhand Open University,B.Sc,B.Sc, Haldwani, Uttarakhand,3.9,24,277,2025,"₹ 62,200",,,"BCI, UGC "
24,Deen Dayal Upadhyaya College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,4,25,277,2025,"₹ 96,465","6,55,000","24,80,000",UGC 
25,Jesus and Mary College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,4,26,277,2025,"₹ 84,240","6,00,000","23,05,000",
26,Gargi College,B.Sc,B.Sc {Hons.} Microbiology, New Delhi, Delhi NCR,4.1,27,277,2025,"₹ 1,01,025","5,25,000","23,05,000",UGC 
27,Shaheed Bhagat Singh College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.9,28,277,2025,"₹ 62,025","5,61,000","23,05,000",
28,Women's Christian College,B.Sc,B.Sc Psychology, Chennai, Tamil Nadu,3.8,29,277,2025,"₹ 1,54,782",,,UGC 
29,Shaheed Rajguru College of Applied Sciences for Women,B.Sc,B.Sc {Hons.} Food Technology, New Delhi, Delhi NCR,3.9,30,277,2025,"₹ 77,040","5,50,000","36,50,000",UGC 
30,Daulat Ram College,B.Sc,B.Sc Life Sciences, New Delhi, Delhi NCR,3.9,21,277,2025,"₹ 1,03,800","6,00,000","23,05,000",UGC 
31,Indraprastha College for Women,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,22,277,2025,"₹ 1,53,675","7,03,000","23,05,000",
32,Christ University,B.Sc,B.Sc Biotechnology, Bangalore, Karnataka,4.1,23,277,2025,"₹ 4,46,000","7,00,000","32,00,000","AICTE, UGC, NBA "
33,Uttarakhand Open University,B.Sc,B.Sc, Haldwani, Uttarakhand,3.9,24,277,2025,"₹ 62,200",,,"BCI, UGC "
34,Deen Dayal Upadhyaya College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,4,25,277,2025,"₹ 96,465","6,55,000","24,80,000",UGC 
35,Jesus and Mary College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,4,26,277,2025,"₹ 84,240","6,00,000","23,05,000",
36,Gargi College,B.Sc,B.Sc {Hons.} Microbiology, New Delhi, Delhi NCR,4.1,27,277,2025,"₹ 1,01,025","5,25,000","23,05,000",UGC 
37,Shaheed Bhagat Singh College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.9,28,277,2025,"₹ 62,025","5,61,000","23,05,000",
38,Women's Christian College,B.Sc,B.Sc Psychology, Chennai, Tamil Nadu,3.8,29,277,2025,"₹ 1,54,782",,,UGC 
39,Shaheed Rajguru College of Applied Sciences for Women,B.Sc,B.Sc {Hons.} Food Technology, New Delhi, Delhi NCR,3.9,30,277,2025,"₹ 77,040","5,50,000","36,50,000",UGC 
40,Fergusson College,B.Sc,B.Sc Biotechnology, Pune, Maharashtra,4.1,31,277,2025,"₹ 7,385",,,UGC 
41,Dyal Singh College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,32,277,2025,"₹ 44,480",,"23,50,000",
42,Mithibai College of Arts,B.Sc,B.Sc Data Science, Mumbai, Maharashtra,4.1,33,277,2025,"₹ 90,000",,"12,88,000","AICTE, UGC "
43,College of Vocational Studies,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.7,34,277,2025,"₹ 2,12,000","5,00,000","23,05,000",
44,Acharya Narendra Dev College,B.Sc,B.Sc {Hons.} Biomedical Sciences, New Delhi, Delhi NCR,3.9,35,277,2025,"₹ 1,08,276",,,AICTE 
45,St. Xavier's College,B.Sc,B.Sc Biotechnology, Mumbai, Maharashtra,4.1,36,277,2025,"₹ 3,60,000","6,00,000","21,00,000",
46,Mata Sundri College for Women,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.7,37,277,2025,"₹ 97,875","3,60,000","8,00,000",
47,Mount Carmel College Autonomous,B.Sc,B.Sc Biotechnology, Bangalore, Karnataka,4.2,38,277,2025,"₹ 3,70,400","5,50,000","24,80,000",UGC 
48,Aryabhatta College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.8,39,277,2025,"₹ 1,16,760","5,30,000","9,00,000",UGC 
49,Keshav Mahavidyalaya,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,40,277,2025,"₹ 1,13,200","5,65,000","10,80,000","UGC, MHRD "
50,Kishinchand Chellaram College,B.Sc,B.Sc Data Science and Business Analytics, Mumbai, Maharashtra,4.1,41,277,2025,"₹ 29,460",,,
51,Maitreyi College,B.Sc,B.Sc Life Sciences, New Delhi, Delhi NCR,3.9,42,277,2025,"₹ 64,020","5,70,000","24,80,000",
52,Goswami Ganesh Dutta Sanatan Dharma College,B.Sc,B.Sc Non-Medical, Chandigarh, Chandigarh,4.1,43,277,2025,"₹ 73,500",,,
53,K J Somaiya College of Science and Commerce,B.Sc,B.Sc Statistics, Mumbai, Maharashtra,4.1,44,277,2025,"₹ 49,105","11,35,000","58,00,000",UGC 
54,Bhaskaracharya College of Applied Sciences,B.Sc,B.Sc {Hons.} Biomedical Sciences, New Delhi, Delhi NCR,3.7,45,277,2025,"₹ 69,775",,,
55,Holy Cross College  (Autonomous),B.Sc,B.Sc Computer Science, Tiruchirappalli, Tamil Nadu,4.3,46,277,2025,,,,
56,Kamala Nehru College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,4,47,277,2025,"₹ 55,050",,"21,50,000",
57,Sophia College for Women,B.Sc,B.Sc, Mumbai, Maharashtra,4.2,48,277,2025,"₹ 47,340",,,AICTE 
58,Kalindi College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.7,49,277,2025,"₹ 1,21,575","10,00,000","24,00,000","AICTE, UGC "
59,Kristu Jayanti University,B.Sc,B.Sc Forensic Sciences, Bangalore, Karnataka,4.1,50,277,2025,"₹ 3,35,000",,,"AICTE, BCI, UGC, ACCA "
60,Deshbandhu College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.8,51,277,2025,"₹ 66,885","3,00,000","28,00,000",
61,Sacred Heart College,B.Sc,B.Sc + M.Sc Data Science, Ernakulam, Kerala,4.2,52,277,2025,"₹ 13,709","7,50,000","46,50,000",AICTE 
62,Shivaji College,B.Sc,B.Sc Physical Science with Chemistry, New Delhi, Delhi NCR,3.9,53,277,2025,"₹ 66,770","6,00,000","24,00,000",
63,PG Government College for Girls,B.Sc,B.Sc Medical, Chandigarh, Chandigarh,4.1,54,277,2025,"₹ 73,343",,,UGC 
64,Sri Guru Nanak Dev Khalsa College,B.Sc,B.Sc Mathematics, New Delhi, Delhi NCR,3.7,55,277,2025,"₹ 62,045",,,UGC 
65,Ethiraj College for Women,B.Sc,B.Sc Computer Science, Chennai, Tamil Nadu,4.1,56,277,2025,"₹ 2,56,986","4,00,000","10,00,000",UGC 
66,Motilal Nehru College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.9,57,277,2025,"₹ 52,735",,,
67,B.K Birla College Of Arts Science & Commerce,B.Sc,B.Sc Information Technology, Thane, Maharashtra,3.8,58,277,2025,"₹ 69,380",,,UGC 
68,Lady Irwin College,B.Sc,B.Sc {Hons.} Food Technology, New Delhi, Delhi NCR,4.2,59,277,2025,"₹ 1,41,925",,"5,71,000",UGC 
69,St Francis College for Women,B.Sc,B.Sc Computer Science, Hyderabad, Telangana,4.3,60,277,2025,"₹ 1,52,050",,"24,00,000",UGC 
70,Shyama Prasad Mukherji College For Women,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,61,277,2025,"₹ 1,21,980",,,"NCTE, UGC "
71,St Xavier's College,B.Sc,B.Sc Biotechnology, Ahmedabad, Gujarat,4.1,62,277,2025,"₹ 2,38,500",,,UGC 
