,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
0,IIT Bombay  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Mumbai, Maharashtra,4.4,1,500,2025,"₹ 1,23,500","23,50,000","1,00,00,000","AICTE, UGC "
1,IIT Delhi  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, New Delhi, Delhi NCR,4.3,2,500,2025,"₹ 3,80,600","25,82,000","2,00,00,000",
2,IIT Madras  Indian Institute of Technology,M.Tech,M.Tech Web-Enabled, Chennai, Tamil Nadu,4.3,3,500,2025,"₹ 1,81,834","21,48,000","4,30,00,000",AICTE 
3,IIT Kanpur  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Kanpur, Uttar Pradesh,4.4,4,500,2025,"₹ 84,040","17,20,000","2,50,00,000",UGC 
4,IIT Kharagpur  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Data Processing, Kharagpur, West Bengal,4.4,5,500,2025,"₹ 63,800","24,30,000","2,44,00,000","AICTE, UGC, NBA "
5,IIT Roorkee  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Roorkee, Uttarakhand,4.3,6,500,2025,"₹ 65,200","18,34,000","1,50,00,000","AICTE, UGC "
6,IIT Guwahati  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Guwahati, Assam,4.3,7,500,2025,"₹ 1,23,700","25,21,000","1,25,00,000","AICTE, UGC "
7,BITS Pilani,M.Tech,ME Computer Science And Engineering, Pilani, Rajasthan,4.4,8,500,2025,"₹ 12,12,175","22,00,000","1,46,68,000",UGC 
8,IIT Hyderabad  Indian Institute of Technology,M.Tech,M.Tech Artificial Intelligence, Hyderabad, Telangana,4.3,9,500,2025,"₹ 2,86,376","20,81,000","66,13,000","AICTE, UGC "
9,IIT BHU  Indian Institute of Technology,M.Tech,M.Tech Analytics and Decision Sciences, Varanasi, Uttar Pradesh,4.3,10,500,2025,"₹ 62,380","29,00,000","1,67,00,000",UGC 
10,NIT Trichy,M.Tech,M.Tech Industrial Automation, Tiruchirappalli, Tamil Nadu,4.1,11,500,2025,"₹ 2,40,100","16,43,000","64,00,000","AICTE, UGC, MHRD "
11,National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Surathkal, Karnataka,4.2,12,500,2025,"₹ 2,47,040","24,56,000","55,00,000","AICTE, UGC, NBA "
12,ISM Dhanbad  Indian Institute of Technology,M.Tech,M.Tech Data Analytics, Dhanbad, Jharkhand,4.3,13,500,2025,"₹ 1,27,936","20,61,000","66,14,000","AICTE, UGC "
13,NIT Warangal,M.Tech,M.Tech Computer Science And Engineering, Warangal, Telangana,4.1,14,500,2025,"₹ 2,97,500","13,30,000","64,63,000","AICTE, UGC, NBA, MHRD "
14,International Institute of Information Technology,M.Tech,M.Tech Computer Science And Engineering, Hyderabad, Telangana,4.1,15,500,2025,"₹ 9,00,000","33,96,000","1,28,00,000","AICTE, BCI, UGC "
15,Indian Institute of Science,M.Tech,M.Tech Artificial Intelligence, Bangalore, Karnataka,4.4,16,500,2025,"₹ 56,600","28,00,000","85,00,000",UGC 
16,IIT Mandi Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Mandi, Himachal Pradesh,4.1,17,500,2025,"₹ 61,000","25,23,000","65,00,000",AICTE 
17,IIT Patna  Indian Institute of Technology,M.Tech,M.Tech Artificial Intelligence, Patna, Bihar,4.2,18,500,2025,"₹ 1,87,250","24,56,000","59,00,000",UGC 
18,IIT Gandhinagar  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Gandhinagar, Gujarat,4.3,19,500,2025,"₹ 24,00,000","15,35,000","62,00,000","AICTE, UGC "
19,MNNIT Allahabad  Motilal Nehru National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Allahabad, Uttar Pradesh,4.2,20,500,2025,"₹ 1,40,000","20,43,000","72,00,000",AICTE 
20,IIT Jodhpur  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Jodhpur, Rajasthan,4.4,21,500,2025,"₹ 1,46,800","17,56,000","53,00,000",AICTE 
21,Netaji Subhas University of Technology,M.Tech,M.Tech Computer Science And Engineering, New Delhi, Delhi NCR,3.7,22,500,2025,"₹ 3,46,500","16,78,000","65,00,000","AICTE, UGC, NBA "
22,Indian Institute of Information Technology,M.Tech,M.Tech + Ph.D. Information Technology + Network and Security, Allahabad, Uttar Pradesh,4.3,23,500,2025,"₹ 8,27,290","33,00,000","1,21,00,000","AICTE, UGC "
23,National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Calicut, Kerala,4,24,500,2025,"₹ 5,98,000","13,39,000","56,59,000","AICTE, UGC "
24,International Institute of Information Technology,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,4.2,25,500,2025,"₹ 9,39,000","21,80,000","65,00,000","AICTE, UGC "
25,Birla Institute of Technology and Science,M.Tech,ME Computer Science And Engineering, South Goa, Goa,4.3,26,500,2025,"₹ 11,46,775","17,00,000","20,75,099",UGC 
26,Birla Institute of Technology and Science,M.Tech,ME Computer Science And Engineering, Hyderabad, Telangana,4.5,27,500,2025,"₹ 11,46,775","20,77,914","1,00,00,000","AICTE, UGC "
27,National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Rourkela, Odisha,4.1,28,500,2025,"₹ 2,08,500","13,81,000","62,44,000","AICTE, UGC, MHRD "
28,IIT Bhubaneswar  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Bhubaneswar, Odisha,4.1,29,500,2025,"₹ 80,280","16,98,000","67,60,000",AICTE 
29,Delhi Technological University,M.Tech,M.Tech Computer Science And Engineering, New Delhi, Delhi NCR,4.2,30,500,2025,"₹ 2,50,000","15,45,000","85,30,000","UGC, NBA "
30,IIT Jodhpur  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Jodhpur, Rajasthan,4.4,21,500,2025,"₹ 1,46,800","17,56,000","53,00,000",AICTE 
31,Netaji Subhas University of Technology,M.Tech,M.Tech Computer Science And Engineering, New Delhi, Delhi NCR,3.7,22,500,2025,"₹ 3,46,500","16,78,000","65,00,000","AICTE, UGC, NBA "
32,Indian Institute of Information Technology,M.Tech,M.Tech + Ph.D. Information Technology + Network and Security, Allahabad, Uttar Pradesh,4.3,23,500,2025,"₹ 8,27,290","33,00,000","1,21,00,000","AICTE, UGC "
33,National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Calicut, Kerala,4,24,500,2025,"₹ 5,98,000","13,39,000","56,59,000","AICTE, UGC "
34,International Institute of Information Technology,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,4.2,25,500,2025,"₹ 9,39,000","21,80,000","65,00,000","AICTE, UGC "
35,Birla Institute of Technology and Science,M.Tech,ME Computer Science And Engineering, South Goa, Goa,4.3,26,500,2025,"₹ 11,46,775","17,00,000","20,75,099",UGC 
36,Birla Institute of Technology and Science,M.Tech,ME Computer Science And Engineering, Hyderabad, Telangana,4.5,27,500,2025,"₹ 11,46,775","20,77,914","1,00,00,000","AICTE, UGC "
37,National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Rourkela, Odisha,4.1,28,500,2025,"₹ 2,08,500","13,81,000","62,44,000","AICTE, UGC, MHRD "
38,IIT Bhubaneswar  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Bhubaneswar, Odisha,4.1,29,500,2025,"₹ 80,280","16,98,000","67,60,000",AICTE 
39,Delhi Technological University,M.Tech,M.Tech Computer Science And Engineering, New Delhi, Delhi NCR,4.2,30,500,2025,"₹ 2,50,000","15,45,000","85,30,000","UGC, NBA "
40,Indraprastha Institute of Information Technology,M.Tech,M.Tech Computer Science And Engineering, New Delhi, Delhi NCR,4.2,31,500,2025,"₹ 6,00,000","20,69,000","51,31,000","AICTE, NBA "
41,Visvesvaraya National Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Nagpur, Maharashtra,4.1,32,500,2025,"₹ 3,41,230","10,70,000","64,00,000",UGC 
42,Indian Institute of Information Technology,M.Tech,M.Tech Computer Science And Engineering, Lucknow, Uttar Pradesh,4.2,33,500,2025,"₹ 5,20,900","33,71,000","1,45,00,000",MHRD 
43,IIT Indore  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Indore, Madhya Pradesh,4.2,34,500,2025,"₹ 2,55,080","23,91,000","1,37,00,000",AICTE 
44,IIT Ropar  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Ropar, Punjab,4.3,35,500,2025,"₹ 2,24,530","23,91,393","65,75,613",MHRD 
45,IIT Tirupati  Indian Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Tirupati, Andhra Pradesh,4.2,36,500,2025,"₹ 60,820","15,54,000","41,64,000","AICTE, UGC "
